,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
108,11449,725.0,725.0
109,11451,845.0,846.0
110,11452,835.0,863.0
111,11453,425.0,435.0
112,11454,899.0,899.0
113,11455,895.99,899.0
114,11456,599.0,633.0
115,11458,392.0,899.99
116,11459,75.0,83.0
117,11460,449.0,450.0
118,11461,459.0,495.0
119,11463,557.0,650.0
120,11464,535.0,560.0
121,11465,789.0,795.0
122,11466,724.99,999.0
123,11467,475.0,475.0
124,11468,480.0,495.0
125,11469,549.99,550.0
126,11470,549.0,575.0
127,11471,549.0,869.0
128,11472,300.0,348.0
129,11473,149.94,149.99
130,11476,185.0,190.0
131,11477,152.0,159.98
132,11478,133.0,140.0
133,11479,389.0,400.0
134,11480,459.0,481.0
135,11481,327.97,345.0
136,11482,139.0,144.95
137,11483,139.0,144.95
138,11484,170.0,195.0
139,11485,170.0,195.0
140,11486,300.0,309.0
141,11487,299.0,299.0
142,11488,175.0,175.0
143,11489,179.99,188.0
144,11491,248.99,275.0
145,11492,123.95,198.98
146,11493,319.0,331.99
147,11494,325.0,350.0
148,11495,139.0,170.0
149,11496,185.0,195.0
150,11497,139.97,230.0
151,11498,109.95,134.0
152,11499,160.0,195.0
153,11500,345.0,375.0
154,11501,137.0,175.0
155,11502,139.0,164.0
156,11503,124.95,135.0
157,11505,175.0,179.0
158,11506,135.0,139.0
159,11507,177.0,185.0
160,11508,999.0,1000.0
161,11509,450.0,475.0
162,11510,315.0,493.0
163,11511,390.0,495.0
164,11512,799.99,825.0
165,11513,495.0,499.0
166,11514,485.0,495.0
167,11515,395.0,475.89
168,11516,450.0,500.0
169,11517,848.0,848.0
170,11518,675.0,789.99
171,11519,200.0,280.0
172,11520,325.0,463.65
173,11522,147.0,159.0
174,11523,190.0,195.0
175,11524,209.99,225.0
176,11525,162.0,162.0
177,11526,288.0,288.0
178,11527,234.95,241.0
179,11528,1099.0,1199.0
180,11529,425.0,425.0
181,11530,449.0,545.0
182,11531,419.99,479.0
183,11532,495.0,499.0
184,11533,449.0,450.0
185,11534,525.0,545.0
186,11535,685.0,695.0
187,11536,685.0,695.0
188,11537,575.0,579.0
189,11539,499.0,538.89
190,11540,250.0,259.0
191,11541,340.0,349.0
192,11542,225.0,234.0
193,11543,199.99,248.0
194,11544,139.0,159.0
195,11545,175.0,188.95
196,11546,127.0,160.0
197,11547,205.0,209.0
198,11548,170.0,177.98
199,11549,170.0,177.98
200,11550,206.0,218.0
201,11551,250.0,275.0
202,11552,475.0,479.0
203,11553,244.95,260.0
204,11554,180.0,215.0
205,11555,269.0,324.0
206,11556,390.0,395.0
207,11557,385.0,385.0
208,11559,139.0,145.0
209,11560,1895.0,2176.0
210,11561,6319.0,7528.89
211,11562,2525.0,2530.0
212,11563,2300.0,2395.0
213,11564,3200.0,3400.0
214,11565,133.13,135.0
215,11566,139.0,165.0
216,11567,119.0,132.0
217,11568,99.0,177.0
218,11570,245.0,245.0
219,11571,190.0,190.0
220,11572,73.0,88.0
221,11573,73.0,88.0
222,11574,224.95,228.0
223,11575,142.0,151.0
224,11576,150.0,152.0
225,11577,129.0,162.0
226,11578,120.0,129.0
227,11579,114.95,129.0
228,11580,152.0,155.0
229,11581,74.98,137.0
230,11582,105.0,149.99
231,11583,209.0,209.0
232,11584,129.99,209.0
233,11585,75.0,81.95
234,11586,139.0,145.0
235,11587,129.0,130.0
236,11588,236.0,249.0
237,11589,155.0,155.0
238,11592,158.0,163.0
239,11593,389.0,395.0
240,11594,325.0,329.0
241,11595,99.0,184.94
242,11596,194.94,196.0
243,11597,202.0,219.95
244,11598,169.0,175.0
245,11599,145.0,185.0
246,11600,240.0,247.0
247,11601,182.0,219.65
248,11603,135.0,247.0
249,11604,395.0,449.99
250,11605,430.0,499.99
251,11606,158.0,191.0
252,11607,239.0,329.99
253,11608,333.33,506.0
254,11609,455.0,473.99
255,11610,470.0,475.0
256,11611,152.0,990.0
257,11612,145.0,274.97
258,11613,149.99,166.0
259,11614,109.0,180.0
260,11615,259.99,274.94
261,11616,455.0,459.98
262,11618,299.95,316.0
263,11619,221.0,350.0
264,11620,145.0,152.0
265,11621,215.0,229.0
266,11622,485.0,499.0
267,11624,500.0,525.0
268,11625,750.0,949.0
